Method,#Cluster,ARI
Seurat,23.0,0.4718895701035474
Seurat,24.0,0.4713985598614912
Seurat,23.0,0.47462613941505244
Seurat,24.0,0.47922911224232956
Seurat,21.0,0.4784593995736417
Seurat,22.0,0.4824669687152736
Seurat,20.0,0.4871972498632729
Seurat,20.0,0.4886752806850285
Seurat,19.0,0.4855811230992557
Seurat,18.0,0.47850357334130944
Seurat,18.0,0.4923208863090817
Seurat,17.0,0.5232394208680594
Seurat,18.0,0.48679050312518074
Seurat,19.0,0.49956354589132174
Seurat,18.0,0.5042238674390502
Seurat,16.0,0.49791913194140947
Seurat,17.0,0.521569726333419
Seurat,16.0,0.5194531015478636
Seurat,16.0,0.5371424465968653
bindSC,22.0,0.36110104176685637
bindSC,21.0,0.377062156117733
bindSC,17.0,0.43990546380668155
bindSC,17.0,0.45087319697649214
bindSC,16.0,0.45654890310219753
bindSC,16.0,0.455864332007879
bindSC,16.0,0.464952130102264
bindSC,15.0,0.4870444519744908
bindSC,15.0,0.4867086977796872
bindSC,14.0,0.49563213026316033
bindSC,13.0,0.4955465384236475
bindSC,12.0,0.5280123546386325
bindSC,11.0,0.6118668629782118
bindSC,11.0,0.612283797341721
bindSC,11.0,0.6130509820594034
bindSC,11.0,0.6149718395078316
bindSC,11.0,0.612363895791495
bindSC,10.0,0.5927599345104143
bindSC,7.0,0.47565210947470893
bindSC,5.0,0.3256285274832407
SiaNN,30.0,0.3831066941091007
SiaNN,32.0,0.34843040488888954
SiaNN,33.0,0.36360315028941564
SiaNN,29.0,0.4006824796963158
SiaNN,27.0,0.4261933228237418
SiaNN,26.0,0.43500780734164474
SiaNN,25.0,0.43764513798861576
SiaNN,24.0,0.447652693451315
SiaNN,25.0,0.472796277730012
SiaNN,22.0,0.4572383497522708
SiaNN,21.0,0.48130188999651136
SiaNN,20.0,0.48496421339593754
SiaNN,19.0,0.5197557975998013
SiaNN,18.0,0.5348884718735731
SiaNN,17.0,0.553938229054131
SiaNN,15.0,0.5526429915113844
SiaNN,12.0,0.6798206541371716
SiaNN,12.0,0.6789181519985639
SiaNN,10.0,0.6612776159695368
SiaNN,8.0,0.5158907447594566
Seurat,17.0,0.5333480534535935
Seurat,16.0,0.5423172121407286
Seurat,15.0,0.5483442780397085
Seurat,16.0,0.5630622713313997
Seurat,15.0,0.5555748052878745
Seurat,15.0,0.5505619424439127
Seurat,14.0,0.5317654474288341
Seurat,14.0,0.5450647587731967
Seurat,12.0,0.5355219996073415
Seurat,12.0,0.5267643014150364
Seurat,11.0,0.5947726673344679
Seurat,11.0,0.591139025936324
Seurat,11.0,0.6043559738981807
Seurat,11.0,0.5913722183349638
Seurat,10.0,0.5284129012530114
Seurat,10.0,0.5479545880484952
Seurat,8.0,0.5052207976530337
Seurat,7.0,0.4954721528404021
Seurat,6.0,0.3383927122395115
Seurat,5.0,0.32636569868728565
Liger,33.0,0.28522300151273006
Liger,30.0,0.29950211546307154
Liger,28.0,0.31196475177078536
Liger,27.0,0.30222622163493323
Liger,27.0,0.31871279780250134
Liger,24.0,0.31574266075485724
Liger,25.0,0.34468407788950467
Liger,21.0,0.35050525995712817
Liger,22.0,0.35327961174558564
Liger,20.0,0.395197757108061
Liger,19.0,0.3847521317518121
Liger,19.0,0.4013018754122144
Liger,16.0,0.42984539540357874
Liger,14.0,0.4683249602036691
Liger,14.0,0.473065926863049
Liger,13.0,0.5056946843474934
Liger,10.0,0.4816083993155329
Liger,8.0,0.4834416696040798
Liger,7.0,0.4287607789934721
Liger,5.0,0.2893437248214282
GLUE,31.0,0.4204697945498113
GLUE,31.0,0.420664757293748
GLUE,30.0,0.42485465787115495
GLUE,28.0,0.43974633345197606
GLUE,27.0,0.4234712920875901
GLUE,25.0,0.4535420085298882
GLUE,25.0,0.4645564569920871
GLUE,24.0,0.4740724894582119
GLUE,22.0,0.5158079507954616
GLUE,22.0,0.50749573054291
GLUE,20.0,0.5727707144682116
GLUE,20.0,0.5766966600047086
GLUE,20.0,0.5769782879405617
GLUE,19.0,0.5813519328199801
GLUE,16.0,0.5530758094149146
GLUE,14.0,0.5344000636749586
GLUE,14.0,0.5463320665782849
GLUE,13.0,0.5352962900615089
GLUE,12.0,0.5148158072939597
GLUE,8.0,0.4839306796344109
