method,total,NK,CD8+ T,CD4+ T naive,CD4+ T activated,Naive CD20+ B,Normoblast,B1 B,CD14+ Mono,ILC,cDC2,Erythroblast,pDC,MK/E prog,ID2-hi myeloid prog,CD16+ Mono,Proerythroblast,Transitional B,Lymph prog,G/M prog,Plasma cell,HSC,CD8+ T naive
GLUE,0.8335114692098988,0.9563953488372092,0.8849892008639308,0.8455349959774738,0.6221419975932612,0.9506172839506172,0.6413043478260869,0.8634361233480177,0.979386385426654,0.08035714285714286,0.6875,0.8607068607068608,0.9813084112149532,0.6918604651162791,0.0,0.7794871794871795,0.8688524590163934,0.9435028248587571,0.8017241379310345,0.5611510791366906,0.75,0.7692307692307693,0.9049079754601228
GLUE,0.8296472909644003,0.9534883720930232,0.8979481641468683,0.8479485116653258,0.5836341756919374,0.9588477366255144,0.5869565217391305,0.7753303964757711,0.9803451581975072,0.09151785714285714,0.6625,0.8814968814968815,0.983644859813084,0.622093023255814,0.02631578947368421,0.8153846153846154,0.8114754098360656,0.9350282485875706,0.6853448275862069,0.592326139088729,0.5416666666666666,0.7482517482517482,0.9233128834355828
GLUE,0.8271807942119543,0.9484011627906976,0.8779697624190065,0.8624296057924377,0.5932611311672683,0.9218106995884774,0.6195652173913043,0.9118942731277532,0.9697986577181208,0.10714285714285714,0.65,0.9002079002079002,0.9859813084112149,0.6046511627906976,0.0,0.7846153846153846,0.7131147540983607,0.9519774011299436,0.7456896551724138,0.5995203836930456,0.2916666666666667,0.7377622377622378,0.8926380368098159
GLUE,0.8155882594754583,0.9549418604651164,0.8914686825053996,0.8551890587288817,0.5703971119133574,0.9609053497942388,0.005434782608695652,0.8149779735682819,0.9769894534995206,0.13616071428571427,0.66875,0.6777546777546778,0.9813084112149532,0.6569767441860465,0.0,0.8333333333333334,0.4344262295081967,0.9293785310734464,0.75,0.6594724220623501,0.7916666666666666,0.7587412587412588,0.9447852760736196
GLUE,0.8260297623941462,0.9585755813953488,0.8828293736501079,0.8567980691874497,0.5740072202166066,0.9588477366255144,0.6304347826086957,0.8149779735682819,0.9851390220517736,0.13169642857142858,0.64375,0.8648648648648649,0.9883177570093458,0.627906976744186,0.0,0.8538461538461538,0.7704918032786885,0.9124293785310734,0.6293103448275862,0.4988009592326139,0.6666666666666666,0.7132867132867133,0.9079754601226994
GLUE,0.8349913672613665,0.9600290697674418,0.8909287257019438,0.8543845534995977,0.631768953068592,0.9567901234567902,0.625,0.8325991189427313,0.9798657718120806,0.11383928571428573,0.65625,0.8627858627858628,0.9766355140186916,0.622093023255814,0.0,0.8076923076923077,0.7622950819672131,0.9350282485875706,0.7241379310344828,0.6139088729016786,0.7083333333333334,0.7377622377622378,0.9141104294478528
GLUE,0.8272630107703691,0.9513081395348836,0.8839092872570194,0.8672566371681416,0.5752105896510229,0.9547325102880658,0.6086956521739131,0.7841409691629956,0.9789069990412272,0.07589285714285714,0.63125,0.8669438669438669,0.9766355140186916,0.6337209302325582,0.0,0.8512820512820513,0.8114754098360656,0.9265536723163842,0.7844827586206896,0.5539568345323741,0.4583333333333333,0.6923076923076923,0.9325153374233128
GLUE,0.8296472909644003,0.9484011627906976,0.8952483801295896,0.8431214802896219,0.5968712394705175,0.9588477366255144,0.6304347826086957,0.8061674008810573,0.9784276126558006,0.12053571428571427,0.525,0.8711018711018711,0.9789719626168224,0.6104651162790697,0.0,0.8205128205128205,0.7950819672131147,0.9209039548022598,0.7198275862068966,0.6282973621103117,0.625,0.7202797202797203,0.9325153374233128
LigerOnline,0.37235879306092245,0.0007267441860465116,0.5928725701943844,0.41110217216411904,0.32611311672683513,0.8353909465020576,0.0,0.039647577092511016,0.926653883029722,0.0,0.0,0.0062370062370062365,0.004672897196261682,0.0,0.0,0.12051282051282053,0.0,0.0423728813559322,0.017241379310344827,0.26139088729016785,0.08333333333333333,0.0,0.3619631901840491
LigerOnline,0.39036421935377785,0.0007267441860465116,0.6792656587473002,0.5398230088495575,0.184115523465704,0.8230452674897121,0.0,0.07488986784140969,0.948705656759348,0.011160714285714286,0.0,0.0,0.0,0.040697674418604654,0.0,0.09487179487179488,0.0,0.025423728813559324,0.0,0.2685851318944844,0.0,0.0,0.30368098159509205
