Method,#Cluster,ARI
SiaNN,23.0,0.38423543335882304
SiaNN,23.0,0.38800478146086986
SiaNN,22.0,0.4500739701075646
SiaNN,22.0,0.43931811689692
SiaNN,22.0,0.43634514724746837
SiaNN,22.0,0.403595263996157
SiaNN,23.0,0.4293655940808712
SiaNN,22.0,0.4397659490667492
SiaNN,22.0,0.4627110348626589
SiaNN,20.0,0.4879789932116125
SiaNN,20.0,0.46302549970217743
SiaNN,19.0,0.49639836230676615
SiaNN,17.0,0.6977057280443609
SiaNN,17.0,0.6771159155281937
SiaNN,17.0,0.6970764073197275
SiaNN,17.0,0.7112946336065791
SiaNN,15.0,0.7120774602072211
SiaNN,13.0,0.6877338514938783
SiaNN,13.0,0.6956785044463683
SiaNN,13.0,0.697178779922409
SiaNN,11.0,0.6870817913464422
SiaNN,10.0,0.6858734564073137
SiaNN,8.0,0.655120689006401
SiaNN,6.0,0.6079385878596809
SiaNN,4.0,0.6390935247609029
Seurat,27.0,0.21799168865750349
Seurat,26.0,0.22182939957197698
Seurat,25.0,0.29468173424949806
Seurat,25.0,0.2947769971741638
Seurat,24.0,0.306894009016938
Seurat,25.0,0.29682737662506115
Seurat,23.0,0.3023439851951327
Seurat,24.0,0.2986234538835086
Seurat,23.0,0.3111677265995031
bindSC,61.0,0.093540232268675
bindSC,61.0,0.09467604206495818
bindSC,57.0,0.1004852128736515
bindSC,55.0,0.09763808337491689
bindSC,55.0,0.1000941830824337
bindSC,52.0,0.10328423755713742
bindSC,52.0,0.10282361452546955
bindSC,49.0,0.10335067477128902
bindSC,48.0,0.11389167581354506
bindSC,48.0,0.10822782429540664
bindSC,46.0,0.12564636422276892
bindSC,43.0,0.12594931760217823
bindSC,42.0,0.11873807748083826
bindSC,41.0,0.12598427100645615
bindSC,39.0,0.12947696342513784
bindSC,38.0,0.1317898429946912
bindSC,35.0,0.14323983187411451
bindSC,36.0,0.14597385698882032
bindSC,34.0,0.15685984078519183
bindSC,29.0,0.1922603172790694
bindSC,28.0,0.19512257607647784
bindSC,28.0,0.18915630015868845
bindSC,24.0,0.2250116317896968
bindSC,23.0,0.29846836938062765
bindSC,22.0,0.31003478201197726
bindSC,19.0,0.23119266343600714
bindSC,16.0,0.3549582780749155
bindSC,13.0,0.3677753347157987
bindSC,10.0,0.41705775607367657
bindSC,5.0,0.5443337397284111
SiaNN,51.0,0.17295318372949392
SiaNN,52.0,0.1601526480241344
SiaNN,52.0,0.16710349929420368
SiaNN,49.0,0.17692466952584637
