method,foscttm,batch
LigerINMF,0.3772574754884566,s3d7
Liger,0.3007296122865842,s1d2
bindSC,0.24685933015608938,s3d7
LigerINMF,0.38861773570908004,s3d7
Liger,0.258473904337046,s1d2
Liger,0.29890708704281804,s1d2
Liger,0.3166765325310569,s1d2
Liger,0.3809600752322013,s3d7
SiaNN,0.078937483368421,s3d7
Liger,0.2733155065293354,s1d2
LigerINMF,0.3820390067176771,s3d7
Liger,0.46221134815453596,s3d7
Liger,0.4047229809929016,s3d7
LigerINMF,0.22046352902069602,s1d2
LigerINMF,0.2560672556878766,s1d2
LigerINMF,0.22693149135738236,s1d2
LigerINMF,0.383517096099019,s3d7
LigerINMF,0.21263587392890637,s1d2
Liger,0.2711479269440269,s1d2
Liger,0.2835785146163333,s1d2
Liger,0.397802670150064,s3d7
Seurat,0.46552336773404196,s3d7
Seurat,0.14683843708649685,s1d2
LigerINMF,0.38643945755058506,s3d7
bindSC,0.08563003229339294,s1d2
Liger,0.4030112625150595,s3d7
Liger,0.2560685102484552,s1d2
LigerINMF,0.3953928770591073,s3d7
Liger,0.36266127765321904,s3d7
LigerINMF,0.21556888601443971,s1d2
LigerINMF,0.37595093142616737,s3d7
SiaNN,0.025177475157693245,s1d2
LigerINMF,0.2212228392652972,s1d2
LigerINMF,0.38385153449751314,s3d7
Liger,0.3837179603096716,s3d7
LigerINMF,0.22612375507444663,s1d2
LigerINMF,0.2270098261199111,s1d2
Liger,0.4343042897114794,s3d7
