method,cell_type_score,modality_score,batch_score
LigerINMF,-0.1127770469231719,0.9915296954584188,0.8593620315375753
LigerINMF,-0.10016037486954116,0.9949546895121404,0.8744549247375069
Liger,-0.040791980616313235,0.9916994557175186,0.9212647486083698
LigerINMF,-0.09816629953012848,0.9942792763250919,0.8429695187435011
Liger,-0.034955069998987745,0.99482359301485,0.8690885102723744
LigerINMF,-0.10125470885314101,0.9948665014775411,0.8443269448567498
LigerINMF,-0.10054560320285606,0.9917852567640104,0.8449977880072645
LigerINMF,-0.092883037415959,0.9929582882393297,0.8344161921381116
Liger,-0.06717801034321622,0.9921065990254756,0.9378886937947474
Liger,-0.0383800108720654,0.9953077205725939,0.9227441057209455
Liger,-0.05757405465840341,0.9944707457483192,0.9406824295806567
Liger,-0.10286727193689947,0.9905836071843263,0.9724691111647749
Liger,-0.041017940633910836,0.9964674586461398,0.9269751696716564
Liger,-0.03510282406100094,0.9935747336899268,0.939040638039675
LigerINMF,-0.08945742452521573,0.9971102069628204,0.8282426578781241
LigerINMF,-0.10105472018247998,0.9938873696050454,0.8191310715654683
bindSC,0.002304006256649035,0.996545237112762,0.9522727983005759
Seurat,-0.23307781856963022,0.8573892404786623,0.7277824528061869
SiaNN,0.30596232044901,0.9963899340714408,0.8045443736325502
