method,foscttm,batch
bindSC,0.08865812282593029,s4d1
Liger,0.28030003569418804,s4d8
SiaNN,0.043801913553597686,s4d8
LigerINMF,0.17467967616213798,s4d9
Liger,0.2795452533291956,s4d9
Liger,0.25915857901980627,s4d8
Liger,0.2544292588806469,s4d8
LigerINMF,0.17121776631336894,s4d1
LigerINMF,0.17302893466110172,s4d8
Liger,0.25624660003228106,s4d1
SiaNN,0.02768795465539745,s4d9
bindSC,0.0853576090032037,s4d9
LigerINMF,0.1782260819381337,s4d8
LigerINMF,0.1993781637848749,s4d8
Liger,0.2515654953199711,s4d8
Liger,0.2189213999507124,s4d9
LigerINMF,0.1861009070565894,s4d1
Liger,0.3048912249796917,s4d9
Liger,0.32124269110724535,s4d1
Liger,0.2378365704949754,s4d9
LigerINMF,0.1620420048368381,s4d1
LigerINMF,0.18071222880404522,s4d9
Liger,0.2499153121593805,s4d1
Liger,0.23024743296210168,s4d1
Liger,0.19851033485749967,s4d8
Seurat,0.23828958297204297,s4d9
LigerINMF,0.17831156264809334,s4d8
LigerINMF,0.18885575159043821,s4d9
LigerINMF,0.19431363144105138,s4d8
LigerINMF,0.1953065998728686,s4d1
LigerINMF,0.16615324981681565,s4d8
LigerINMF,0.19741420304670457,s4d9
LigerINMF,0.1798750239592556,s4d9
Liger,0.23148211954983983,s4d9
LigerINMF,0.1802807112019788,s4d9
LigerINMF,0.16629664969941146,s4d8
Liger,0.30257599654340767,s4d1
Seurat,0.17095685303969568,s4d1
Liger,0.3062829154534917,s4d9
Liger,0.2758304962532288,s4d9
Liger,0.2643033194316667,s4d8
bindSC,0.07243891005224389,s4d8
LigerINMF,0.18839536634631415,s4d1
LigerINMF,0.17152687693163002,s4d1
Liger,0.27937404792863463,s4d8
LigerINMF,0.17822286219660996,s4d1
SiaNN,0.02657873910100702,s4d1
LigerINMF,0.1756463176730571,s4d1
Liger,0.3350481375649356,s4d1
LigerINMF,0.16623351375033088,s4d9
Liger,0.27663004996914703,s4d1
Seurat,0.1386972452203501,s4d8
LigerINMF,0.17795456412409524,s4d9
Liger,0.30775914787196174,s4d9
Liger,0.23337967399734322,s4d8
Liger,0.25242136650971186,s4d1
LigerINMF,0.20982830041021153,s4d8
