method,total,NK,Normoblast,Transitional B,Lymph prog,Naive CD20+ B,Erythroblast,HSC,CD14+ Mono,CD8+ T naive,G/M prog,cDC2,pDC,B1 B,CD8+ T,CD4+ T activated,MK/E prog,CD16+ Mono,CD4+ T naive,Proerythroblast,ILC,Plasma cell
GLUE,0.6956022317033147,0.9537223340040242,0.5294117647058824,0.8317757009345794,0.5240384615384616,0.7733333333333333,0.7191011235955056,0.61328125,0.9303448275862068,0.0,0.3969465648854962,0.72,0.37730870712401055,0.8947368421052632,0.8911917098445595,0.37433155080213903,0.8411214953271028,0.8495575221238938,0.3043478260869565,0.9587628865979382,0.0,0.18181818181818185
GLUE,0.6823104693140795,0.943661971830986,0.5294117647058824,0.8161993769470405,0.2259615384615385,0.8293333333333334,0.6573033707865169,0.6953125,0.9455172413793104,0.0,0.3231552162849873,0.72,0.3482849604221636,0.8333333333333334,0.8549222797927462,0.4919786096256685,0.8785046728971962,0.8185840707964602,0.2065217391304348,0.8969072164948454,0.0,0.7272727272727273
GLUE,0.6888743025927141,0.9315895372233399,0.5294117647058824,0.8255451713395638,0.3701923076923077,0.8293333333333334,0.7162921348314607,0.67578125,0.9537931034482758,0.0,0.4096692111959288,0.5733333333333334,0.3139841688654353,0.7807017543859649,0.917098445595855,0.22994652406417115,0.9065420560747663,0.7964601769911505,0.1956521739130435,0.9793814432989691,0.0,0.8181818181818182
GLUE,0.6811617984903183,0.96579476861167,0.5378151260504201,0.9376947040498442,0.4615384615384616,0.9733333333333334,0.6966292134831461,0.66015625,0.9227586206896552,0.0,0.3740458015267176,0.64,0.1662269129287599,0.07894736842105263,0.8911917098445595,0.4117647058823529,0.9158878504672896,0.8053097345132744,0.29347826086956524,0.9690721649484536,0.0,0.09090909090909093
GLUE,0.6957663275352806,0.9617706237424548,0.6134453781512605,0.8753894080996885,0.5,0.7786666666666666,0.6460674157303371,0.64453125,0.9248275862068964,0.0,0.36641221374045796,0.6933333333333334,0.37730870712401055,0.912280701754386,0.8575129533678757,0.5561497326203209,0.8504672897196262,0.8274336283185841,0.2826086956521739,0.9381443298969072,0.0,0.2727272727272727
GLUE,0.6852641942894651,0.9537223340040242,0.5210084033613446,0.7694704049844237,0.4807692307692308,0.8266666666666667,0.702247191011236,0.6796875,0.9365517241379312,0.0,0.36641221374045796,0.6266666666666667,0.2532981530343008,0.9210526315789472,0.8963730569948186,0.3475935828877005,0.9158878504672896,0.8628318584070797,0.18478260869565216,0.8556701030927835,0.0,0.4545454545454545
GLUE,0.6581883820150968,0.9557344064386318,0.4873949579831933,0.838006230529595,0.2980769230769231,0.92,0.6404494382022472,0.55078125,0.9310344827586208,0.0,0.2824427480916031,0.5733333333333334,0.2849604221635884,0.30701754385964913,0.844559585492228,0.41711229946524064,0.8598130841121495,0.8053097345132744,0.18478260869565216,0.8969072164948454,0.0,0.3636363636363637
GLUE,0.6759107318674106,0.9678068410462776,0.5294117647058824,0.7570093457943925,0.40384615384615385,0.7466666666666667,0.7303370786516854,0.65234375,0.9337931034482758,0.0,0.31806615776081426,0.7333333333333333,0.2638522427440633,0.8859649122807017,0.8523316062176166,0.4224598930481284,0.8785046728971962,0.8230088495575221,0.2391304347826087,0.9587628865979382,0.0,0.2727272727272727
Liger,0.45306859205776173,0.7967806841046278,0.5210084033613446,0.6479750778816199,0.2740384615384616,0.688,0.5168539325842697,0.8359375,0.4048275862068966,0.0,0.22137404580152675,0.05333333333333334,0.7387862796833773,0.42105263157894735,0.4326424870466321,0.6631016042780749,0.1308411214953271,0.02212389380530973,0.18478260869565216,0.5051546391752577,0.0,0.0
Liger,0.4803085001640958,0.8631790744466801,0.5714285714285714,0.7258566978193146,0.30288461538461536,0.6266666666666667,0.19101123595505615,0.921875,0.4606896551724138,0.0,0.2137404580152672,0.10666666666666667,0.7889182058047494,0.43859649122807015,0.4559585492227979,0.6524064171122995,0.16822429906542055,0.5132743362831859,0.18478260869565216,0.3608247422680412,0.0,0.18181818181818185
Liger,0.43485395470955035,0.8792756539235412,0.7226890756302521,0.6542056074766355,0.27884615384615385,0.7093333333333334,0.6376404494382022,0.70703125,0.2496551724137931,0.0,0.03307888040712468,0.013333333333333334,0.7044854881266491,0.32456140350877194,0.39896373056994816,0.7165775401069518,0.1308411214953271,0.5796460176991151,0.21739130434782608,0.5360824742268041,0.0,0.0
Liger,0.45191992123400065,0.8893360160965795,0.5210084033613446,0.7133956386292835,0.3990384615384616,0.424,0.7556179775280899,0.92578125,0.3262068965517241,0.0,0.022900763358778626,0.013333333333333334,0.7704485488126649,0.6666666666666666,0.3937823834196891,0.5721925133689839,0.1588785046728972,0.3716814159292036,0.2826086956521739,0.3402061855670103,0.0,0.2727272727272727
Liger,0.47981621266819824,0.8591549295774648,0.6050420168067226,0.7757009345794392,0.25,0.6133333333333333,0.5561797752808989,0.89453125,0.4006896551724138,0.0,0.053435114503816786,0.18666666666666668,0.7783641160949868,0.412280701754386,0.5440414507772021,0.6256684491978609,0.12149532710280375,0.4292035398230089,0.21739130434782608,0.5257731958762887,0.0,0.09090909090909093
