method,cell_type_score,batch_score
bindSC,0.11184868112916795,0.9978065586367401
GLUE,0.18561756143502303,0.992582242246849
Liger,0.11081197075373737,0.9825865893372817
GLUE,0.17222889945949785,0.9939847694104189
GLUE,0.17159879005712017,0.9930870654962926
Liger,0.07842437100894095,0.9806808440106365
Liger,0.14420003354354596,0.9755708332376524
GLUE,0.17080524426518415,0.9929633684853764
Liger,0.06796415805990937,0.9605537275492435
GLUE,0.17719796840510235,0.9928361737342204
GLUE,0.16658891480825566,0.9939056514180663
SiaNN,0.3658734492920605,0.9932723258934392
GLUE,0.1908072204326775,0.9941589888217559
Liger,0.06420717237566101,0.9765929034420299
GLUE,0.16537100237987587,0.9922141062281136
Liger,0.12856556543212086,0.9834009798127222
Liger,0.027357226002346375,0.9711465438938697
Liger,0.07949888298936755,0.987075391169891
Seurat,0.3279748886493342,0.9882858753205382
