p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
0,1.233503396,0.578,0.212,0,4-5,IFI27
0,0.812095656,0.462,0.215,0,4-5,ISG15
0,0.786761941,0.518,0.221,0,4-5,PIM1
0,0.781603229,0.513,0.27,0,4-5,IFI6
0,0.742426648,0.717,0.5,0,4-5,IFITM3
0,0.727154461,0.488,0.211,0,4-5,IFI44L
0,0.716411251,0.525,0.285,0,4-5,OAS3
0,0.634437804,0.557,0.304,0,4-5,MX1
0,0.600509444,0.528,0.331,0,4-5,OAS2
0,0.574374209,0.504,0.286,0,4-5,LAP3
0,0.549377165,0.616,0.397,0,4-5,PLAC8
0,0.538608987,0.379,0.162,0,4-5,SIGLEC1
0,0.538289845,0.169,0.045,0,4-5,OTOF
0,0.518436567,0.28,0.111,0,4-5,RSAD2
0,0.509521574,0.211,0.053,0,4-5,LGALS3BP
0,0.508280013,0.635,0.447,0,4-5,XAF1
0,0.472555406,0.394,0.2,0,4-5,IFIT3
0,0.470661887,0.437,0.237,0,4-5,EPSTI1
0,0.395683292,0.779,0.663,0,4-5,TYMP
2.4578E-307,0.463104475,0.644,0.476,8.4913E-303,4-5,STAT1
2.5039E-285,0.449767568,0.415,0.228,8.6505E-281,4-5,GBP1
5.8767E-257,0.402080778,0.377,0.203,2.0303E-252,4-5,FCGR1A
2.0798E-253,0.418669051,0.389,0.215,7.1853E-249,4-5,IFI44
7.1836E-248,0.407978302,0.25,0.108,2.4818E-243,4-5,IFIT1
8.2853E-247,0.478271194,0.278,0.132,2.8624E-242,4-5,CES1
2.2487E-246,0.252155846,0.943,0.888,7.7687E-242,4-5,S100A8
5.0527E-241,0.462560097,0.306,0.154,1.7456E-236,4-5,HIST1H1E
3.1297E-233,0.357913702,0.803,0.731,1.0813E-228,4-5,RNF213
2.4486E-216,0.300535718,0.183,0.069,8.4594E-212,4-5,SERPING1
1.8183E-208,0.4151697,0.473,0.315,6.2817E-204,4-5,SOCS3
9.5847E-208,0.353388711,0.309,0.164,3.3113E-203,4-5,FCGR1B
2.9391E-206,0.384484848,0.192,0.079,1.0154E-201,4-5,IFITM1
3.8292E-204,0.429294825,0.493,0.344,1.3229E-199,4-5,KLF10
9.6396E-203,0.343029507,0.218,0.096,3.3303E-198,4-5,CMPK2
5.5632E-174,0.331313002,0.444,0.297,1.922E-169,4-5,SCO2
7.6E-174,0.406045162,0.491,0.355,2.6256E-169,4-5,MX2
2.5212E-173,0.395874878,0.232,0.118,8.7103E-169,4-5,ERAP2
4.7396E-155,0.379503716,0.43,0.294,1.6374E-150,4-5,SAMD9L
5.8129E-149,0.326409493,0.688,0.615,2.0082E-144,4-5,ADAR
8.4487E-145,0.317917108,0.438,0.301,2.9189E-140,4-5,PARP9
1.1611E-141,0.328614744,0.404,0.272,4.0115E-137,4-5,APOBEC3A
2.0755E-138,0.352174257,0.373,0.246,7.1706E-134,4-5,EIF2AK2
2.9371E-137,0.3679944,0.459,0.34,1.0147E-132,4-5,TRIM22
1.7832E-136,0.277902044,0.758,0.685,6.1604E-132,4-5,SELL
1.2855E-134,0.327564999,0.312,0.195,4.4412E-130,4-5,CUL1
9.1934E-133,0.39630035,0.278,0.167,3.1761E-128,4-5,GBP5
1.093E-131,0.268968363,0.185,0.091,3.776E-127,4-5,HERC5
1.6736E-131,0.301318151,0.325,0.204,5.7821E-127,4-5,IRF7
2.5507E-129,0.274275963,0.33,0.209,8.8122E-125,4-5,LY6E
1.2787E-124,0.30275782,0.205,0.109,4.4176E-120,4-5,OASL
2.3701E-124,0.336106782,0.19,0.099,8.1881E-120,4-5,HIST1H1D
4.0209E-124,0.287956818,0.629,0.535,1.3891E-119,4-5,CCNL1
1.8128E-118,0.339994372,0.516,0.413,6.2628E-114,4-5,PSMB9
1.9526E-114,0.289105399,0.276,0.172,6.7457E-110,4-5,PIM3
6.2E-106,0.292695086,0.507,0.4,2.142E-101,4-5,PSME2
1.2067E-101,0.296686434,0.44,0.335,4.16887E-97,4-5,BLVRA
2.7932E-98,0.269493195,0.542,0.444,9.64995E-94,4-5,PARP14
5.58024E-95,0.305170043,0.298,0.199,1.92786E-90,4-5,GBP4
1.47439E-92,0.276793892,0.38,0.278,5.09372E-88,4-5,PLSCR1
3.69049E-90,0.299163979,0.415,0.318,1.27499E-85,4-5,OAS1
3.99075E-80,0.324506472,0.538,0.456,1.37872E-75,4-5,WARS
1.04451E-77,0.258756594,0.315,0.225,3.60856E-73,4-5,STAB1
2.15988E-71,0.288985723,0.221,0.145,7.46194E-67,4-5,H1F0
1.38889E-70,0.251088507,0.401,0.311,4.79833E-66,4-5,DDX60L
9.24335E-70,0.261910849,0.379,0.293,3.19339E-65,4-5,DTX3L
2.63612E-61,0.279373945,0.349,0.271,9.10728E-57,4-5,SAMD9
6.52081E-46,0.270428563,0.387,0.325,2.25281E-41,4-5,CALR
3.40473E-41,0.251768211,0.283,0.221,1.17627E-36,4-5,RN7SL4P
7.803E-17,0.250561268,0.196,0.162,2.69578E-12,4-5,IGLC3
1.09718E-16,0.327675847,0.113,0.087,3.79054E-12,4-5,PRF1
5.08095E-13,0.265031608,0.151,0.125,1.75537E-08,4-5,GNLY
0,1.184033656,0.626,0.148,0,6-7,CLU
0,1.144955733,0.285,0.087,0,6-7,HBB
0,0.913251189,0.492,0.176,0,6-7,RNASE2
0,0.900422734,0.701,0.492,0,6-7,S100A12
0,0.894678747,0.973,0.869,0,6-7,S100A8
0,0.819174081,0.988,0.929,0,6-7,S100A9
0,0.727141758,0.793,0.584,0,6-7,PLBD1
0,0.71229021,0.451,0.19,0,6-7,C19orf59
0,0.703578746,0.505,0.293,0,6-7,CYP1B1
0,0.664364856,0.136,0.03,0,6-7,HBA2
0,0.663370207,0.591,0.363,0,6-7,FKBP5
