p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
0,1.108930679,0.517,0.095,0,4-5,IFI44L
0,1.096677377,0.416,0.075,0,4-5,OAS3
0,1.016015253,0.52,0.117,0,4-5,MX1
0,0.973451974,0.392,0.073,0,4-5,IFI6
0,0.944699871,0.768,0.359,0,4-5,XAF1
0,0.939490415,0.437,0.111,0,4-5,ISG15
0,0.915281593,0.35,0.058,0,4-5,RSAD2
0,0.8963395,0.381,0.08,0,4-5,IFIT3
0,0.825642048,0.516,0.19,0,4-5,OAS2
0,0.713947069,0.357,0.087,0,4-5,IFI44
0,0.684541456,0.226,0.027,0,4-5,IFIT1
0,0.679581792,0.287,0.054,0,4-5,OAS1
6.6925E-301,0.806583203,0.293,0.064,2.3121E-296,4-5,IGLC3
1.1185E-250,0.922467078,0.224,0.042,3.8643E-246,4-5,IGHM
5.1944E-248,0.655919825,0.537,0.243,1.7946E-243,4-5,IFITM3
2.8151E-242,0.607736735,0.317,0.089,9.7256E-238,4-5,MX2
7.8029E-222,0.614224457,0.537,0.251,2.6957E-217,4-5,STAT1
1.404E-220,0.576428621,0.431,0.167,4.8504E-216,4-5,PARP9
4.0424E-217,0.774751909,0.373,0.136,1.3966E-212,4-5,MYOM2
4.6027E-216,0.578396205,0.44,0.176,1.5901E-211,4-5,EIF2AK2
2.6308E-212,0.6445177,0.377,0.14,9.089E-208,4-5,ERAP2
5.5883E-212,0.504193899,0.205,0.042,1.9307E-207,4-5,OASL
2.468E-199,0.611888159,0.113,0.009,8.5265E-195,4-5,IFI27
6.3928E-182,0.496309912,0.753,0.514,2.2086E-177,4-5,ADAR
1.2015E-181,0.534326611,0.322,0.114,4.151E-177,4-5,EPSTI1
2.4235E-181,0.471221428,0.123,0.015,8.3726E-177,4-5,C1orf173
4.1294E-181,0.545078401,0.535,0.273,1.4266E-176,4-5,TRIM22
1.66E-173,0.460755407,0.226,0.061,5.7349E-169,4-5,HERC6
1.8992E-166,0.554367702,0.477,0.235,6.5613E-162,4-5,DTX3L
2.2143E-165,0.535132866,0.547,0.294,7.6501E-161,4-5,SAMD9L
2.3473E-162,0.452755396,0.252,0.078,8.1094E-158,4-5,IRF7
1.0124E-159,0.370167603,0.136,0.023,3.4975E-155,4-5,CMPK2
2.5959E-158,0.407678796,0.906,0.776,8.9684E-154,4-5,GZMB
5.1223E-155,0.447989586,0.231,0.071,1.7697E-150,4-5,PLSCR1
1.114E-136,0.488175774,0.372,0.17,3.8487E-132,4-5,LGALS1
4.0366E-133,0.438225046,0.451,0.228,1.3946E-128,4-5,ISG20
7.8685E-133,0.52272895,0.663,0.475,2.7184E-128,4-5,CX3CR1
1.4389E-130,0.464925403,0.331,0.145,4.9713E-126,4-5,IL32
7.6371E-130,0.479196615,0.147,0.036,2.6385E-125,4-5,LAG3
8.3155E-129,0.482076956,0.262,0.1,2.8728E-124,4-5,HIST1H1C
9.3246E-129,0.440409421,0.434,0.221,3.2214E-124,4-5,IFITM1
6.6176E-124,0.424797992,0.275,0.109,2.2862E-119,4-5,STAT2
3.0181E-118,0.459030823,0.215,0.076,1.0427E-113,4-5,PATL2
2.6347E-117,0.421305173,0.298,0.127,9.1023E-113,4-5,DDX60
3.1039E-116,0.442650947,0.42,0.218,1.0723E-111,4-5,CD38
6.9133E-114,0.328319755,0.156,0.043,2.3884E-109,4-5,TYMP
1.4338E-113,0.370478862,0.176,0.055,4.9535E-109,4-5,HERC5
1.324E-109,0.392169288,0.112,0.024,4.574E-105,4-5,IGHA1
1.6259E-109,0.370764278,0.656,0.439,5.6171E-105,4-5,SP100
1.335E-104,0.346918613,0.19,0.065,4.612E-100,4-5,IFIH1
4.6268E-104,0.425853531,0.451,0.251,1.5985E-99,4-5,HIST1H1E
2.0055E-103,0.390088113,0.265,0.113,6.9285E-99,4-5,GBP1
4.1985E-103,0.386186987,0.291,0.131,1.45048E-98,4-5,DDX60L
1.2955E-100,0.392067891,0.197,0.072,4.47581E-96,4-5,WARS
2.02668E-98,0.339398383,0.195,0.071,7.00176E-94,4-5,TRIM69
2.00945E-96,0.313740181,0.29,0.131,6.94226E-92,4-5,BST2
5.3469E-96,0.324108711,0.238,0.098,1.84725E-91,4-5,HELZ2
1.15117E-95,0.25537694,0.936,0.865,3.97706E-91,4-5,RNF213
1.67952E-93,0.37794468,0.475,0.279,5.80242E-89,4-5,PARP14
4.08537E-93,0.316310502,0.306,0.145,1.41141E-88,4-5,LY6E
2.37178E-92,0.350805008,0.406,0.221,8.19401E-88,4-5,TAP1
6.27604E-91,0.356576823,0.201,0.077,2.16825E-86,4-5,XIST
7.61592E-88,0.372708295,0.539,0.345,2.63115E-83,4-5,SAMD9
5.40706E-87,0.322842898,0.467,0.273,1.86803E-82,4-5,TMEM123
1.20136E-86,0.284947365,0.208,0.084,4.15046E-82,4-5,PARP12
