"seqnames"	"start"	"end"	"width"	"strand"	"gene_id"	"gene_name"	"gene_biotype"	"seq_coord_system"	"symbol"	"entrezid"
"ENSG00000186092"	"chr1"	69090	69091	2	"+"	"ENSG00000186092"	"OR4F5"	"protein_coding"	"chromosome"	"OR4F5"	79501
"ENSG00000279928"	"chr1"	182392	182393	2	"+"	"ENSG00000279928"	"FO538757.2"	"protein_coding"	"chromosome"	"FO538757.2"	c(107984078, 102725121)
"ENSG00000279457"	"chr1"	200322	200323	2	"-"	"ENSG00000279457"	"FO538757.1"	"protein_coding"	"chromosome"	"FO538757.1"	.
"ENSG00000278566"	"chr1"	451678	451679	2	"-"	"ENSG00000278566"	"OR4F29"	"protein_coding"	"chromosome"	"OR4F29"	c(729759, 81399, 26683)
"ENSG00000273547"	"chr1"	686654	686655	2	"-"	"ENSG00000273547"	"OR4F16"	"protein_coding"	"chromosome"	"OR4F16"	c(81399, 26683)
"ENSG00000187634"	"chr1"	923927	923928	2	"+"	"ENSG00000187634"	"SAMD11"	"protein_coding"	"chromosome"	"SAMD11"	148398
"ENSG00000188976"	"chr1"	959309	959310	2	"-"	"ENSG00000188976"	"NOC2L"	"protein_coding"	"chromosome"	"NOC2L"	26155
"ENSG00000187961"	"chr1"	960586	960587	2	"+"	"ENSG00000187961"	"KLHL17"	"protein_coding"	"chromosome"	"KLHL17"	339451
"ENSG00000187583"	"chr1"	966496	966497	2	"+"	"ENSG00000187583"	"PLEKHN1"	"protein_coding"	"chromosome"	"PLEKHN1"	84069
"ENSG00000187642"	"chr1"	982093	982094	2	"-"	"ENSG00000187642"	"PERM1"	"protein_coding"	"chromosome"	"PERM1"	84808
"ENSG00000188290"	"chr1"	1000172	1000173	2	"-"	"ENSG00000188290"	"HES4"	"protein_coding"	"chromosome"	"HES4"	57801
"ENSG00000187608"	"chr1"	1001137	1001138	2	"+"	"ENSG00000187608"	"ISG15"	"protein_coding"	"chromosome"	"ISG15"	9636
"ENSG00000188157"	"chr1"	1020122	1020123	2	"+"	"ENSG00000188157"	"AGRN"	"protein_coding"	"chromosome"	"AGRN"	375790
"ENSG00000237330"	"chr1"	1074307	1074308	2	"-"	"ENSG00000237330"	"RNF223"	"protein_coding"	"chromosome"	"RNF223"	401934
"ENSG00000131591"	"chr1"	1116361	1116362	2	"-"	"ENSG00000131591"	"C1orf159"	"protein_coding"	"chromosome"	"C1orf159"	54991
"ENSG00000162571"	"chr1"	1173883	1173884	2	"+"	"ENSG00000162571"	"TTLL10"	"protein_coding"	"chromosome"	"TTLL10"	254173
"ENSG00000186891"	"chr1"	1206691	1206692	2	"-"	"ENSG00000186891"	"TNFRSF18"	"protein_coding"	"chromosome"	"TNFRSF18"	8784
"ENSG00000186827"	"chr1"	1214138	1214139	2	"-"	"ENSG00000186827"	"TNFRSF4"	"protein_coding"	"chromosome"	"TNFRSF4"	7293
"ENSG00000078808"	"chr1"	1232031	1232032	2	"-"	"ENSG00000078808"	"SDF4"	"protein_coding"	"chromosome"	"SDF4"	51150
"ENSG00000176022"	"chr1"	1232264	1232265	2	"+"	"ENSG00000176022"	"B3GALT6"	"protein_coding"	"chromosome"	"B3GALT6"	126792
"ENSG00000184163"	"chr1"	1246722	1246723	2	"-"	"ENSG00000184163"	"FAM132A"	"protein_coding"	"chromosome"	"FAM132A"	388581
"ENSG00000160087"	"chr1"	1273885	1273886	2	"-"	"ENSG00000160087"	"UBE2J2"	"protein_coding"	"chromosome"	"UBE2J2"	118424
"ENSG00000162572"	"chr1"	1280435	1280436	2	"+"	"ENSG00000162572"	"SCNN1D"	"protein_coding"	"chromosome"	"SCNN1D"	6339
"ENSG00000131584"	"chr1"	1309609	1309610	2	"-"	"ENSG00000131584"	"ACAP3"	"protein_coding"	"chromosome"	"ACAP3"	116983
"ENSG00000169972"	"chr1"	1308566	1308567	2	"+"	"ENSG00000169972"	"PUSL1"	"protein_coding"	"chromosome"	"PUSL1"	126789
